tripminutes,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,start hour,start day,weekday,day,age,tripminutes
5,320,2020-03-01 11:12:47.059,2020-03-01 11:18:08.051,3639,Harborside,40.71925170000001,-74.034234,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42339,Subscriber,1986,1,11,1,6,Weekend,34,5
8,502,2020-03-01 11:13:01.952,2020-03-01 11:21:24.927,3210,Pershing Field,40.742677141,-74.051788633,3195,Sip Ave,40.73089709786179,-74.06391263008119,42423,Subscriber,1995,2,11,1,6,Weekend,25,8
12,762,2020-03-01 11:13:54.806,2020-03-01 11:26:37.624,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,42298,Subscriber,1989,1,11,1,6,Weekend,31,12
7,439,2020-03-01 11:14:14.587,2020-03-01 11:21:33.806,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,3681,Grand St,40.71517767732029,-74.03768330812454,42109,Customer,1969,0,11,1,6,Weekend,51,7
1,79,2020-03-01 11:16:11.063,2020-03-01 11:17:30.554,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.03375890000001,42277,Subscriber,1990,1,11,1,6,Weekend,30,1
6,394,2020-03-01 11:18:03.943,2020-03-01 11:24:38.758,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.73089709786179,-74.06391263008119,42352,Subscriber,1994,1,11,1,6,Weekend,26,6
2,142,2020-03-01 11:20:19.992,2020-03-01 11:22:42.727,3639,Harborside,40.71925170000001,-74.034234,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42503,Subscriber,1984,1,11,1,6,Weekend,36,2
16,996,2020-03-01 11:21:20.116,2020-03-01 11:37:56.385,3280,Astor Place,40.71928220070703,-74.07126188278198,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42590,Subscriber,1984,1,11,1,6,Weekend,36,16
2,148,2020-03-01 11:22:47.267,2020-03-01 11:25:15.289,3279,Dixon Mills,40.72163014263835,-74.04996782541275,3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,42546,Subscriber,1987,1,11,1,6,Weekend,33,2
8,480,2020-03-01 11:23:54.051,2020-03-01 11:31:54.636,3207,Oakland Ave,40.7376037,-74.05247829999999,3211,Newark Ave,40.72152515,-74.046304543,42205,Subscriber,1979,2,11,1,6,Weekend,41,8
